,Question
187343,"The tallest of the new buildings, first dubbed the <a href=""http://www.j-archive.com/media/2011-09-22_J_18.jpg"" target=""_blank"">Freedom Tower</a>, will soar this many feet to signify a big year in American history"
169293,"He wrote & illustrated the graphic novel ""Maus: A Survivor's Tale"""
63001,"This brand, made from 100% Colombian coffee, bills itself as ""The Essence of Coffee"""
169564,"Oh man, this guy...  Was director of scientific studies at the Ecole Normale in 1857...  Him""-ization""...  Help me out here!"
209246,"Whenever I feel afraid, I hold my head erect and do this, ""so no one will suspect I'm afraid"""
195101,"The Urals, the Pyrenees, the Carpathians"
63306,This Amazonian palm fruit that looks like a purple berry packs an antioxidant wallop
187038,"The Beastie Boys, a Chrysler model,  Pauline Kael's workplace"
102310,"Woodrow Wilson, Dwight D. Eisenhower, James Garfield"
26263,"Almost 60, John Steinbeck set out in search of America with his dog & chronicled the adventure in this book"
163804,"After Johnson's death in 1973, the manned spacecraft center in this city was renamed for him"
59502,This author's lust for biography influenced him to pen works about Darwin & Van Gogh
183853,It survived the Merrimack in March 1862 only to sink in a gale in December
145641,Peter Burnett (1850)
128932,"Al & Peg's place at 9764 Jeopardy Lane, Chicago"
44174,"Diane Arbus, Dorothea Lange, Annie Leibovitz"
198510,Roscoe was the middle name of this man known for his calm radio reportage during WWII
205668,Atoms of this abundant element are the smallest & simplest known
40653,"After World War II, this Welsh poet served as a commentator on poetry for the BBC"
4306,The benevolent Mr. Allworthy & the crude Mr. Western have this title given to English country gentlemen
61303,"After it comes back pink from the wash, you might use something similar to fire your laundress"
187128,There's a hang-gliding school named for this 2-word North Carolina town that became famous in 1903
57623,"...not the '60s tune by The Troggs but this, Tone Loc's first top 10 hit, covering certain parts of Tone's dating life"
117172,Chemist Paul Lecoq de Boisbaudran named gallium after the Latin word for this country
133734,"In the 1920s, her home at 27 Rue de Fleurus in Paris was a gathering place for other writers & artists"
23454,This pope who called for a Vatican council was beatified in 2000
111242,"So you & Amy found a place together--mind if I ask, are you going to get married or just do this?"
43229,"Zion National Park, Monument Valley"
172423,"To make provolone, use milk from this animal"
44973,It's called the Loyalist province because during the American Revolution many Loyalists fled there
179988,"His book of poems called ""Drum-Taps"" was inspired by the suffering he saw during the Civil War"
100897,A citation or comment at the bottom of a page
101513,Actors should enjoy the Theater History Museum inside this Danish capital's Royal Court Theater
62421,Old: Kristy Swanson; New: Sarah Michelle Gellar
152605,"The Karen Blixen Museum is found in the suburbs of this Kenyan city, one of Africa's largest & fastest growing"
152220,"In the comics on March 11, 1960 it was revealed that this round-headed boy's father was a barber"
179377,"Poet F.W. Bourdillon wrote, ""The night has a thousand"" of these, ""and the day but one"""
160317,"""Knife in the Water"", Roman Polanski's 1st feature film, was made in this language"
61551,It's said that black wetsuits attract great white sharks because swimmers resemble these animals
16326,"At Corky's carnival, this attraction uses the ""human"", not the ""dog"" type of its tiny performers"
179641,SPIDER FLING
44407,"The Huns only sacked Milan; this group destroyed it less than 100 years later, in 539"
80232,This large Siberian lake is more than a mile deep at its deepest point
63519,"2 large orders of popcorn chicken, 2 biscuits, potato wedges, BBQ beans, Lil' Bucket lemon creme, large Pepsi"
143341,"Archibald MacLeish based his verse play ""J.B."" on this book of the Bible"
150553,"I want my kids to get scholarships to this California school near Palo Alto, as undergrad tuition is $36,030 a year"
205988,The leatherback is the only living species of this that has free ribs & vertebrae
160793,"It has about 40,000 people & it's right near Hackensack"
114499,"He stole scenes as a pipsqueak accountant on the run from the mob in ""Lethal Weapon 2"""
140811,"Breman, Germany's St. Pauli Girl is this"
94409,Building extension for a monarch
55344,Roskilde Cathedral has been the burial place for this nation's monarchs since the 16th century
28607,"Newsweek calls this ""Cryptonomicon"" author ""The Hacker Hemingway"""
67532,Charo may know this fish shares its name with a kitchen insect pest
174458,In South Africa: 1899-1902
149240,"It's not ""a long way to"" this drink, if you've got Irish whiskey, chartreuse & vermouth"
58790,"On a 1970s sitcom, Penny Marshall frequently wore this letter on her blouse"
42374,Sitka Times (1868)
75240,In the 1950s Dannon popularized this product in the U.S.
209090,"This letter-answering columnist got 30,000 letters of support when she split with her husband Jules"
174189,This capital of Victoria served as Australia's capital from 1901 to 1927 when the seat of govt. was moved to Canberra
80205,"In 1963 he spoke of his ""dream"" that his children would one day ""not be judged by the color of their skin"""
40916,This phrase meaning the aristocracy is derived from the part of a loaf served to honored guests
182212,1989: This clergyman & political activist
25181,This George W. Bush Cabinet member lost his 2000 Senate race to a man who died a month before the election
14673,"By definition, vasodilator drugs are used to widen these"
134758,"Sandstone is made of sand, which is made up mostly of this mineral"
42253,"This actress spent ""Six Days, Seven Nights"" on an island with Harrison Ford"
53527,Both shutter speed & size of lens opening control amount of this let into a camera
110213,"Also called the Chioggia, the beet seen <a href=""http://www.j-archive.com/media/2010-12-28_DJ_05.jpg"" target=""_blank"">here</a> has this sweet name because of its stripes"
147980,Death (Brad Pitt) takes a holiday & falls in love with Claire Forlani in this 1998 movie
163903,"Rumors said that Bubbles, one of these animals, would carry the rings, but it wasn't true"
16246,Spain's Philip II (1556-1598)
165180,"A term for Frodo, or a young 'un at a wedding who participates in the ceremony by holding the bands"
6783,"In 1990 he reissued ""The Stand"" with nearly 500 more pages than the original"
156783,Adjective for a section of Beijing historically reserved for the Emperors
59047,"This telephone inventor was born in Edinburgh, Scotland in 1847"
197670,"(<a href=""http://www.j-archive.com/media/2006-11-06_J_26.jpg"" target=""_blank"">Jon of the Clue Crew indicates a drawing on the monitor.</a>) In Edison's light bulb patent, m represents the tube leading to a pump that creates one of these in the glass bulb"
18158,"Take a bite out of ""The Vampire Armand"", the sixth book in her ""Vampire Chronicles"""
74075,A Marxist adjective for the middle class
144027,"No. 15: TV Guide says the term ""anchor"" was coined for this man"
85707,Ben Vereen & Jeff Goldblum
108937,It's used by astronomers to designate the second- brightest star in a constellation
201326,"Texas: 1,600,000"
177426,It's the one-word title of Wyoming's state song
123318,Around 1915 Debussy composed 12 etudes in memory of this Polish-French composer
122068,It's put out by the Washington Post Company's magazine publishing division
24225,"English & Spanish versions of the song ""She Bangs"" are on his 2000 CD ""Sound Loaded"""
177772,"Andrew Lloyd Webber wrote the part of Christine in ""The Phantom of the Opera"" for this soprano, his then wife"
67642,She filed with style before taking over as editor of Cosmopolitan magazine in 1965
2558,"In its 1st episode, citizens of a Kansas town saw a mushroom cloud on the horizon & were cut off from the outside world"
172667,"The ruins of this city destroyed by Rome in 146 B.C. are a 20-minute drive from Tunis, Tunisia"
88084,"World War II fighter/ nothing equaled its value/ Air Force ""less than"" one"
156499,"Most reptiles with toes have these on them, but the leatherback sea turtle doesn't"
204371,This man pulled down 11 championship rings as a coach & player for the Celtics
47080,"Schiller's play about this man has the line ""By Heavens!  The apple's cleft right through the core"""
43671,"In Act 1 of this play, Happy complains to Biff about their father's driving"
211154,How loud you're playing your Aerosmith album is indicated by this number
145454,Female rent collector (8)
144321,"Upon his death in 1849, his last words were, ""I love you Sarah, for all eternity, I love you"""
197453,"Julius Caesar said, ""Iacta alea est"", which is usually translated as this"
41262,"Nuyorican is a literary style that began in the '60s, or the name of a nightspot in the old part of this Puerto Rican city"
54325,Milton Obote
145836,"In ""Shrek 2"" this Antonio Banderas character is hired to commit ogrecide at the Poison Apple Inn"
106685,"Our domesticated hogs are descended from these ""wild"" mammals of Europe"
21472,"""Everything's"" doing this, a phrase about emerging from hard times in good shape, is a ""Gypsy"" song title"
155147,A Jodi Picoult novel was the basis for this 2009 weepie in which Abigail Breslin has a sibling dying from cancer
5198,"In 1971 this part-Maori diva had her first Covent Garden triumph in ""The Marriage of Figaro"""
207899,"This term for an object carried to give a person a sense of safety was popularized in the comic strip ""Peanuts"""
188669,General term for any primate of the subfamily Hominoidea
139672,Cape York Peninsula stretches northward from this continent's mainland
96823,Mammoth 3 Little Pigs nemesis who's CNN's senior White House correspondent
77529,"In stunt casting, on the Feb. 13, 1997 episode of ""Diagnosis Murder"" Mike Connors played this detective"
